,French,English
0,partie,part
1,histoire,history
2,police,police
3,pensais,thought
4,demande,request
5,genre,kind
6,laisser,let
7,car,because
8,mettre,to put
9,aucun,no
10,laisse,leash
11,ville,city
12,chaque,each
13,parlé,speak
14,devrait,should
15,bébé,baby
16,longtemps,long time
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,place,square
22,parle,speak
23,compris,understood
24,savais,knew
25,étaient,were
26,attention,Warning
27,voici,here is
28,donner,give
29,leurs,their
30,donné,given
31,train,train
32,corps,body
33,endroit,place
34,yeux,eyes
35,façon,way
36,écoute,listen
37,premier,first
38,perdu,lost
39,main,hand
40,première,first
41,vieux,old
42,sois,be
43,tellement,so much
44,enfant,child
45,suite,after
46,venez,come
47,devant,in front of
48,vers,towards
49,minutes,minutes
50,demandé,request
51,chambre,bedroom
52,mis,placed
53,droit,law
54,aimerais,would like to
55,aujourd'hui,today
56,mari,husband
57,cause,cause
58,enfin,finally
59,espère,hope
60,eau,water
61,parti,left
62,boulot,job
63,arrêter,Stop
64,dirait,would say
65,terre,Earth
66,compte,account
67,donne,given
68,loin,far
69,fin,end
70,croire,believe
71,chérie,sweetheart
72,gros,large
73,plutôt,rather
74,filles,girls
75,jouer,to play
76,bureau,office
